assistance_transaction_unique_key,assistance_award_unique_key,award_id_fain,modification_number,award_id_uri,sai_number,federal_action_obligation,total_obligated_amount,non_federal_funding_amount,total_non_federal_funding_amount,face_value_of_loan,original_loan_subsidy_cost,total_face_value_of_loan,total_loan_subsidy_cost,disaster_emergency_fund_codes_for_overall_award,outlayed_amount_funded_by_COVID-19_supplementals_for_overall_aw,obligated_amount_funded_by_COVID-19_supplementals_for_overall_a,action_date,action_date_fiscal_year,period_of_performance_start_date,period_of_performance_current_end_date,awarding_agency_code,awarding_agency_name,awarding_sub_agency_code,awarding_sub_agency_name,awarding_office_code,awarding_office_name,funding_agency_code,funding_agency_name,funding_sub_agency_code,funding_sub_agency_name,funding_office_code,funding_office_name,treasury_accounts_funding_this_award,federal_accounts_funding_this_award,object_classes_funding_this_award,program_activities_funding_this_award,recipient_duns,recipient_name,recipient_parent_duns,recipient_parent_name,recipient_country_code,recipient_country_name,recipient_address_line_1,recipient_address_line_2,recipient_city_code,recipient_city_name,recipient_county_code,recipient_county_name,recipient_state_code,recipient_state_name,recipient_zip_code,recipient_zip_last_4_code,recipient_congressional_district,recipient_foreign_city_name,recipient_foreign_province_name,recipient_foreign_postal_code,primary_place_of_performance_scope,primary_place_of_performance_country_code,primary_place_of_performance_country_name,primary_place_of_performance_code,primary_place_of_performance_city_name,primary_place_of_performance_county_code,primary_place_of_performance_county_name,primary_place_of_performance_state_name,primary_place_of_performance_zip_4,primary_place_of_performance_congressional_district,primary_place_of_performance_foreign_location,cfda_number,cfda_title,assistance_type_code,assistance_type_description,award_description,business_funds_indicator_code,business_funds_indicator_description,business_types_code,business_types_description,correction_delete_indicator_code,correction_delete_indicator_description,action_type_code,action_type_description,record_type_code,record_type_description,highly_compensated_officer_1_name,highly_compensated_officer_1_amount,highly_compensated_officer_2_name,highly_compensated_officer_2_amount,highly_compensated_officer_3_name,highly_compensated_officer_3_amount,highly_compensated_officer_4_name,highly_compensated_officer_4_amount,highly_compensated_officer_5_name,highly_compensated_officer_5_amount,usaspending_permalink,last_modified_date
8900_DEFE0000090_-NONE-_81.104_0015,ASST_NON_DEFE0000090_8900,DEFE0000090,0015,,,0.00,2587751.98,0.00,0.00,0.00,0.00,0.00,0.00,Q: Excluded from tracking (uses non-emergency/non-disaster designated appropriations),,,2020-09-18,2020,2008-12-17,2021-09-30,089,DEPARTMENT OF ENERGY (DOE),8900,DEPARTMENT OF ENERGY,893030,HEADQUARTERS PROCUREMENT SERVICES,089,DEPARTMENT OF ENERGY (DOE),8900,DEPARTMENT OF ENERGY,892404,FOSSIL ENERGY,089-X-0219-000,089-0219,25.2: Other services from non-Federal sources,0001: PRODUCTION AND OPERATIONS;0002: NPR MANAGEMENT,949010870,"TOXIC SUBSTANCES CONTROL, CALIFORNIA DEPARTMENT OF",071549000,"CALIFORNIA, STATE OF",USA,UNITED STATES,PO BOX 806,,64000,SACRAMENTO,067,SACRAMENTO,CA,CALIFORNIA,95812,0806,06,,,,CITY-WIDE,USA,UNITED STATES,CA64000,SACRAMENTO,067,SACRAMENTO,CALIFORNIA,CITY-WIDE,06,,81.104,ENVIRONMENTAL REMEDIATION AND WASTE PROCESSING AND DISPOSAL,04,PROJECT GRANT (B),"THE CALIFORNIA DEPARTMENT OF TOXIC SUBSTANCES CONTROL (DTSC) OVERSEES THE IMPLEMENTATION OF THE CORRECTIVE ACTION CONSENT AGREEMENT (CACA). THEREFORE, DTSC’S CONTINUED INVOLVEMENT AT NPR-1 IS NECESSARY TO ENSURE THAT DOE MEETS THEIR LEGAL OBLIGATIONS UNDER THE CACA AND FEDERAL/STATE REGULATIONS.",NON,NOT RECOVERY ACT,A,STATE GOVERNMENT,,,B,CONTINUATION,2,NON-AGGREGATE RECORD,,,,,,,,,,,https://www.usaspending.gov/award/ASST_NON_DEFE0000090_8900/,2020-09-24 18:45:51.363268+00
8900_DESC0009999_-NONE-_81.049_0009,ASST_NON_DESC0009999_8900,DESC0009999,0009,,SAI EXEMPT,2355000.00,20071000.00,0.00,0.00,0.00,0.00,0.00,0.00,Q: Excluded from tracking (uses non-emergency/non-disaster designated appropriations),,,2020-09-18,2020,2013-05-01,2021-03-31,089,DEPARTMENT OF ENERGY (DOE),8900,DEPARTMENT OF ENERGY,892430,SC CHICAGO SERVICE CENTER,089,DEPARTMENT OF ENERGY (DOE),8900,DEPARTMENT OF ENERGY,892401,SCIENCE,089-X-0222-000,089-0222,"41.0: Grants, subsidies, and contributions",0004: HIGH ENERGY PHYSICS,047120084,"UNIVERSITY OF CALIFORNIA, DAVIS",071549000,"CALIFORNIA, STATE OF",USA,UNITED STATES,ONE SHIELDS AVE,,18100,DAVIS,113,YOLO,CA,CALIFORNIA,95618,6153,03,,,,SINGLE ZIP CODE,USA,UNITED STATES,CA18100,DAVIS,113,YOLO,CALIFORNIA,95616-5270,03,,81.049,OFFICE OF SCIENCE FINANCIAL ASSISTANCE PROGRAM,04,PROJECT GRANT (B),"RESEARCH IN HIGH ENERGY PHYSICS AND COSMOLOGY AT THE UNIVERSITY OF CALIFORNIA, DAVIS",NON,NOT RECOVERY ACT,H,PUBLIC/STATE CONTROLLED INSTITUTION OF HIGHER EDUCATION,C,CORRECT AN EXISTING RECORD,C,REVISION,2,NON-AGGREGATE RECORD,,,,,,,,,,,https://www.usaspending.gov/award/ASST_NON_DESC0009999_8900/,2020-12-02 13:00:38.007685+00
8900_DESC0011702_-NONE-_81.049_0007,ASST_NON_DESC0011702_8900,DESC0011702,0007,,SAI EXEMPT,2210000.00,16795000.00,0.00,0.00,0.00,0.00,0.00,0.00,Q: Excluded from tracking (uses non-emergency/non-disaster designated appropriations),,,2020-09-18,2020,2014-05-01,2021-03-31,089,DEPARTMENT OF ENERGY (DOE),8900,DEPARTMENT OF ENERGY,892430,SC CHICAGO SERVICE CENTER,089,DEPARTMENT OF ENERGY (DOE),8900,DEPARTMENT OF ENERGY,892401,SCIENCE,089-X-0222-000,089-0222,"41.0: Grants, subsidies, and contributions",0004: HIGH ENERGY PHYSICS,094878394,"UNIVERSITY OF CALIFORNIA, SANTA BARBARA",071549000,"CALIFORNIA, STATE OF",USA,UNITED STATES,OFFICE OF RESEARCH,3227 CHEADLE HALL,69070,SANTA BARBARA,083,SANTA BARBARA,CA,CALIFORNIA,93106,2050,24,,,,SINGLE ZIP CODE,USA,UNITED STATES,CA69070,SANTA BARBARA,083,SANTA BARBARA,CALIFORNIA,93106-9530,24,,81.049,OFFICE OF SCIENCE FINANCIAL ASSISTANCE PROGRAM,04,PROJECT GRANT (B),UCSB HIGH ENERGY PHYSICS GROUP PROPOSAL,NON,NOT RECOVERY ACT,H,PUBLIC/STATE CONTROLLED INSTITUTION OF HIGHER EDUCATION,,,C,REVISION,2,NON-AGGREGATE RECORD,,,,,,,,,,,https://www.usaspending.gov/award/ASST_NON_DESC0011702_8900/,2020-09-24 18:45:51.363268+00
8900_DESC0011925_-NONE-_81.049_0006,ASST_NON_DESC0011925_8900,DESC0011925,0006,,SAI EXEMPT,2895000.00,23252000.00,0.00,0.00,0.00,0.00,0.00,0.00,Q: Excluded from tracking (uses non-emergency/non-disaster designated appropriations),,,2020-09-18,2020,2014-06-01,2021-03-31,089,DEPARTMENT OF ENERGY (DOE),8900,DEPARTMENT OF ENERGY,892430,SC CHICAGO SERVICE CENTER,089,DEPARTMENT OF ENERGY (DOE),8900,DEPARTMENT OF ENERGY,892401,SCIENCE,089-X-0222-000,089-0222,"41.0: Grants, subsidies, and contributions",0004: HIGH ENERGY PHYSICS,009584210,CALIFORNIA INSTITUTE OF TECHNOLOGY,009584210,CALIFORNIA INSTITUTE OF TECHNOLOGY,USA,UNITED STATES,1200 E CALIFORNIA BLVD,MAIL CODE 273-6,56000,PASADENA,037,LOS ANGELES,CA,CALIFORNIA,91125,0001,27,,,,SINGLE ZIP CODE,USA,UNITED STATES,CA56000,PASADENA,037,LOS ANGELES,CALIFORNIA,91125-0002,27,,81.049,OFFICE OF SCIENCE FINANCIAL ASSISTANCE PROGRAM,04,PROJECT GRANT (B),ACCOMPLISHMENTS AND FUTURE GOALS OF EXPERIMENTAL PARTICLE PHYSICS AT CALTECH,NON,NOT RECOVERY ACT,O,PRIVATE INSTITUTION OF HIGHER EDUCATION,,,C,REVISION,2,NON-AGGREGATE RECORD,,,,,,,,,,,https://www.usaspending.gov/award/ASST_NON_DESC0011925_8900/,2020-09-24 18:45:51.363268+00
8900_DEIE0000117_-NONE-_81.087_0002,ASST_NON_DEIE0000117_8900,DEIE0000117,0002,,SAI NOT AVAILABLE,0.00,1745857.00,0.00,1167614.00,0.00,0.00,0.00,0.00,Q: Excluded from tracking (uses non-emergency/non-disaster designated appropriations),,,2020-09-15,2020,2019-10-01,2022-09-30,089,DEPARTMENT OF ENERGY (DOE),8900,DEPARTMENT OF ENERGY,892434,GOLDEN FIELD OFFICE,089,DEPARTMENT OF ENERGY (DOE),8900,DEPARTMENT OF ENERGY,892405,INDIAN ENERGY POLICY AND PROGRAMS,089-X-0342-000,089-0342,"41.0: Grants, subsidies, and contributions",0010: DIRECT PROGRAM ACTIVITY,626839039,COLUSA INDIAN COMMUNITY COUNCIL,626839039,COLUSA INDIAN COMMUNITY COUNCIL,USA,UNITED STATES,3730 HIGHWAY 45,,14946,COLUSA,011,COLUSA,CA,CALIFORNIA,95932,4022,03,,,,CITY-WIDE,USA,UNITED STATES,CA14946,COLUSA,011,COLUSA,CALIFORNIA,CITY-WIDE,03,,81.087,RENEWABLE ENERGY RESEARCH AND DEVELOPMENT,04,PROJECT GRANT (B),SOLAR CANOPY EXPANSION PROJECT,NON,NOT RECOVERY ACT,I,INDIAN/NATIVE AMERICAN TRIBAL GOVERNMENT (FEDERALLY-RECOGNIZED),,,C,REVISION,2,NON-AGGREGATE RECORD,,,,,,,,,,,https://www.usaspending.gov/award/ASST_NON_DEIE0000117_8900/,2020-09-24 18:45:51.363268+00
8900_DEEE0008238_-NONE-_81.117_0005,ASST_NON_DEEE0008238_8900,DEEE0008238,0005,,SAI EXEMPT,-64607.00,589784.00,0.00,165954.00,0.00,0.00,0.00,0.00,Q: Excluded from tracking (uses non-emergency/non-disaster designated appropriations),,,2020-09-14,2020,2017-11-01,2020-02-28,089,DEPARTMENT OF ENERGY (DOE),8900,DEPARTMENT OF ENERGY,892434,GOLDEN FIELD OFFICE,089,DEPARTMENT OF ENERGY (DOE),8900,DEPARTMENT OF ENERGY,892403,ENERGY EFFICIENCYRENEWABLE ENERGY,089-X-0321-000,089-0321,"41.0: Grants, subsidies, and contributions",0101: SOLAR ENERGY,079152991,"POWERHOUSE ACCELERATOR, LLC",,,USA,UNITED STATES,1528 WEBSTER ST,,53000,OAKLAND,001,ALAMEDA,CA,CALIFORNIA,94612,3314,13,,,,SINGLE ZIP CODE,USA,UNITED STATES,CA53000,OAKLAND,001,ALAMEDA,CALIFORNIA,94612-2813,13,,81.117,"ENERGY EFFICIENCY AND RENEWABLE ENERGY INFORMATION DISSEMINATION, OUTREACH, TRAINING AND TECHNICAL ANALYSIS/ASSISTANCE",05,COOPERATIVE AGREEMENT (B),PARTNERSHIPS FOR INTELLIGENT ENERGY,NON,NOT RECOVERY ACT,R,SMALL BUSINESS,C,CORRECT AN EXISTING RECORD,C,REVISION,2,NON-AGGREGATE RECORD,,,,,,,,,,,https://www.usaspending.gov/award/ASST_NON_DEEE0008238_8900/,2020-09-28 16:55:36.026739+00
8900_DEEE0008946_-NONE-_81.087_0003,ASST_NON_DEEE0008946_8900,DEEE0008946,0003,,SAI NOT AVAILABLE,0.00,820000.00,0.00,265828.00,0.00,0.00,0.00,0.00,Q: Excluded from tracking (uses non-emergency/non-disaster designated appropriations),,,2020-09-11,2020,2020-02-01,2021-01-31,089,DEPARTMENT OF ENERGY (DOE),8900,DEPARTMENT OF ENERGY,892434,GOLDEN FIELD OFFICE,089,DEPARTMENT OF ENERGY (DOE),8900,DEPARTMENT OF ENERGY,892403,ENERGY EFFICIENCYRENEWABLE ENERGY,089-X-0321-000,089-0321,"41.0: Grants, subsidies, and contributions",0103: WATER POWER,141815709,"NATEL ENERGY, INC.",,,USA,UNITED STATES,2401 MONARCH STREET,,00562,ALAMEDA,001,ALAMEDA,CA,CALIFORNIA,94501,5096,13,,,,SINGLE ZIP CODE,USA,UNITED STATES,CA00562,ALAMEDA,001,ALAMEDA,CALIFORNIA,945017513,13,,81.087,RENEWABLE ENERGY RESEARCH AND DEVELOPMENT,05,COOPERATIVE AGREEMENT (B),ADVANCED COMPACT GENERATION MODULE WITH FISH SAFE RUNNER TECHNOLOGY,NON,NOT RECOVERY ACT,R,SMALL BUSINESS,,,C,REVISION,2,NON-AGGREGATE RECORD,,,,,,,,,,,https://www.usaspending.gov/award/ASST_NON_DEEE0008946_8900/,2020-09-24 18:45:51.363268+00
8900_DEEE0009186_-NONE-_81.086_-NONE-,ASST_NON_DEEE0009186_8900,DEEE0009186,,,SAI EXEMPT,3600000.00,3600000.00,0.00,0.00,0.00,0.00,0.00,0.00,Q: Excluded from tracking (uses non-emergency/non-disaster designated appropriations),,,2020-09-11,2020,2020-10-01,2021-12-31,089,DEPARTMENT OF ENERGY (DOE),8900,DEPARTMENT OF ENERGY,892433,NATIONAL ENERGY TECHNOLOGY LABORATORY,089,DEPARTMENT OF ENERGY (DOE),8900,DEPARTMENT OF ENERGY,892403,ENERGY EFFICIENCYRENEWABLE ENERGY,089-X-0321-000,089-0321,25.5: Research and development contracts,0001: VEHICLE TECHNOLOGIES,078319503,"SILA NANOTECHNOLOGIES, INC.",,,USA,UNITED STATES,2450 MARINER SQUARE LOOP,,00562,ALAMEDA,001,ALAMEDA,CA,CALIFORNIA,94501,1010,13,,,,SINGLE ZIP CODE,USA,UNITED STATES,CA00562,ALAMEDA,001,ALAMEDA,CALIFORNIA,94501-1010,13,,81.086,CONSERVATION RESEARCH AND DEVELOPMENT,05,COOPERATIVE AGREEMENT (B),"THE PURPOSE OF AMENDMENT 000003 IS TO EXTEND THE DEADLINE TO SUBMIT FULL APPLICATIONS FROM 4/14/2020 TO 4/28/2020.

THE OFFICE OF ENERGY EFFICIENCY AND RENEWABLE ENERGY IS ISSUING, ON BEHALF OF THE VEHICLE TECHNOLOGIES OFFICE, A FUNDING OPPORTUNITY ANNOUNCEMENT ENTITLED, FISCAL YEAR 2020 ADVANCED VEHICLE TECHNOLOGIES RESEARCH FUNDING OPPORTUNITY ANNOUNCEMENT.

THIS ANNOUNCEMENT SEEKS RESEARCH PROJECTS TO ADDRESS PRIORITIES IN THE FOLLOWING AREAS: ADVANCED BATTERIES AND ELECTRIFICATION IN SUPPORT OF THE RECENTLY-ANNOUNCED DOE ENERGY STORAGE GRAND CHALLENGE; ADVANCED ENGINE AND FUEL TECHNOLOGIES, INCLUDING TECHNOLOGIES FOR OFF-ROAD APPLICATIONS AND ALTERNATIVE FUELED ENGINES; LIGHTWEIGHT MATERIALS; NEW MOBILITY TECHNOLOGIES (ENERGY EFFICIENT MOBILITY SYSTEMS); AND ALTERNATIVE FUELS TECHNOLOGY DEMONSTRATIONS.",NON,NOT RECOVERY ACT,Q,FOR-PROFIT ORGANIZATION (OTHER THAN SMALL BUSINESS),,,A,NEW,2,NON-AGGREGATE RECORD,,,,,,,,,,,https://www.usaspending.gov/award/ASST_NON_DEEE0009186_8900/,2020-09-24 18:45:51.363268+00
8900_DESC0021312_-NONE-_81.049_-NONE-,ASST_NON_DESC0021312_8900,DESC0021312,,,SAI EXEMPT,769708.00,769708.00,0.00,0.00,0.00,0.00,0.00,0.00,Q: Excluded from tracking (uses non-emergency/non-disaster designated appropriations),,,2020-09-11,2020,2020-09-15,2021-09-14,089,DEPARTMENT OF ENERGY (DOE),8900,DEPARTMENT OF ENERGY,892430,SC CHICAGO SERVICE CENTER,089,DEPARTMENT OF ENERGY (DOE),8900,DEPARTMENT OF ENERGY,892401,SCIENCE,089-X-0222-000,089-0222,"41.0: Grants, subsidies, and contributions",0003: BIOLOGICAL AND ENVIRONMENTAL RESEARCH,092530369,"UNIVERSITY OF CALIFORNIA, LOS ANGELES",071549000,"CALIFORNIA, STATE OF",USA,UNITED STATES,"10889 WILSHIRE BOULEVARD, SUITE 700",BOX 951406,44000,LOS ANGELES,037,LOS ANGELES,CA,CALIFORNIA,90095,1406,33,,,,SINGLE ZIP CODE,USA,UNITED STATES,CA44000,LOS ANGELES,037,LOS ANGELES,CALIFORNIA,90095-7228,33,,81.049,OFFICE OF SCIENCE FINANCIAL ASSISTANCE PROGRAM,04,PROJECT GRANT (B),"THE ROLE OF DEEP CONVECTION AND LARGE-SCALE CIRCULATION IN DRIVING
MODEL SPREAD IN LOW CLOUD FEEDBACK AND EQUILIBRIUM CLIMATE SENSITIVITY",NON,NOT RECOVERY ACT,H,PUBLIC/STATE CONTROLLED INSTITUTION OF HIGHER EDUCATION,,,A,NEW,2,NON-AGGREGATE RECORD,,,,,,,,,,,https://www.usaspending.gov/award/ASST_NON_DESC0021312_8900/,2020-09-24 18:45:51.363268+00
8900_DEEE0009012_-NONE-_81.087_0001,ASST_NON_DEEE0009012_8900,DEEE0009012,0001,,,0.00,999963.00,0.00,499999.00,0.00,0.00,0.00,0.00,Q: Excluded from tracking (uses non-emergency/non-disaster designated appropriations),,,2020-09-10,2020,2020-03-01,2021-04-30,089,DEPARTMENT OF ENERGY (DOE),8900,DEPARTMENT OF ENERGY,892434,GOLDEN FIELD OFFICE,089,DEPARTMENT OF ENERGY (DOE),8900,DEPARTMENT OF ENERGY,892403,ENERGY EFFICIENCYRENEWABLE ENERGY,089-X-0321-000,089-0321,"41.0: Grants, subsidies, and contributions",0101: SOLAR ENERGY,117059283,"TERABASE ENERGY, INC.",,,USA,UNITED STATES,2222 HAROLD WAY,,06000,BERKELEY,001,ALAMEDA,CA,CALIFORNIA,94704,,13,,,,SINGLE ZIP CODE,USA,UNITED STATES,CA06000,BERKELEY,001,ALAMEDA,CALIFORNIA,94708-1814,11,,81.087,RENEWABLE ENERGY RESEARCH AND DEVELOPMENT,05,COOPERATIVE AGREEMENT (B),"FIELD FACTORY FOR COST REDUCTION AND DEPLOYMENT ACCELERATION OF 
PV POWER PLANTS",NON,NOT RECOVERY ACT,R,SMALL BUSINESS,,,C,REVISION,2,NON-AGGREGATE RECORD,,,,,,,,,,,https://www.usaspending.gov/award/ASST_NON_DEEE0009012_8900/,2020-09-14 20:33:54.042798+00
8900_DESC0021307_-NONE-_81.049_-NONE-,ASST_NON_DESC0021307_8900,DESC0021307,,,SAI EXEMPT,405000.00,405000.00,0.00,0.00,0.00,0.00,0.00,0.00,Q: Excluded from tracking (uses non-emergency/non-disaster designated appropriations),,,2020-09-10,2020,2020-09-23,2021-09-22,089,DEPARTMENT OF ENERGY (DOE),8900,DEPARTMENT OF ENERGY,892430,SC CHICAGO SERVICE CENTER,089,DEPARTMENT OF ENERGY (DOE),8900,DEPARTMENT OF ENERGY,892401,SCIENCE,089-X-0222-000,089-0222,"41.0: Grants, subsidies, and contributions",0002: ADVANCED SCIENTIFIC COMPUTING RESEARCH,072933393,UNIVERSITY OF SOUTHERN CALIFORNIA,072933393,UNIVERSITY OF SOUTHERN CALIFORNIA,USA,UNITED STATES,3720 S FLOWER ST FL 3,,44000,LOS ANGELES,037,LOS ANGELES,CA,CALIFORNIA,90089,4318,37,,,,SINGLE ZIP CODE,USA,UNITED STATES,CA44000,LOS ANGELES,037,LOS ANGELES,CALIFORNIA,90089-0701,37,,81.049,OFFICE OF SCIENCE FINANCIAL ASSISTANCE PROGRAM,04,PROJECT GRANT (B),"FRAMEWORKS, ALGORITHMS AND SCALABLE TECHNOLOGIES FOR MATHEMATICS (FASTMATH) SCIDAC INSTITUTE",NON,NOT RECOVERY ACT,O,PRIVATE INSTITUTION OF HIGHER EDUCATION,,,A,NEW,2,NON-AGGREGATE RECORD,,,,,,,,,,,https://www.usaspending.gov/award/ASST_NON_DESC0021307_8900/,2020-09-14 20:33:54.042798+00
8900_DESC0006812_-NONE-_81.049_0009,ASST_NON_DESC0006812_8900,DESC0006812,0009,,SAI EXEMPT,450000.00,1949000.00,0.00,0.00,0.00,0.00,0.00,0.00,Q: Excluded from tracking (uses non-emergency/non-disaster designated appropriations),,,2020-09-10,2020,2011-09-01,2021-08-31,089,DEPARTMENT OF ENERGY (DOE),8900,DEPARTMENT OF ENERGY,892430,SC CHICAGO SERVICE CENTER,089,DEPARTMENT OF ENERGY (DOE),8900,DEPARTMENT OF ENERGY,892401,SCIENCE,089-X-0222-000,089-0222,"41.0: Grants, subsidies, and contributions",0001: BASIC ENERGY SCIENCES,072933393,UNIVERSITY OF SOUTHERN CALIFORNIA,072933393,UNIVERSITY OF SOUTHERN CALIFORNIA,USA,UNITED STATES,3720 S FLOWER ST FL 3,,44000,LOS ANGELES,037,LOS ANGELES,CA,CALIFORNIA,90089,4318,37,,,,SINGLE ZIP CODE,USA,UNITED STATES,CA44000,LOS ANGELES,037,LOS ANGELES,CALIFORNIA,90089-0174,37,,81.049,OFFICE OF SCIENCE FINANCIAL ASSISTANCE PROGRAM,04,PROJECT GRANT (B),UNRAVELLING THE MECHANISMS OF PHASE DETERMINATION IN METASTABLE MULTINARY CHALCOGENIDES,NON,NOT RECOVERY ACT,O,PRIVATE INSTITUTION OF HIGHER EDUCATION,,,C,REVISION,2,NON-AGGREGATE RECORD,,,,,,,,,,,https://www.usaspending.gov/award/ASST_NON_DESC0006812_8900/,2020-09-14 20:33:54.042798+00
8900_DEFG0206ER54867_-NONE-_81.049_0017,ASST_NON_DEFG0206ER54867_8900,DEFG0206ER54867,0017,,SAI EXEMPT,288872.00,2347503.00,0.00,0.00,0.00,0.00,0.00,0.00,Q: Excluded from tracking (uses non-emergency/non-disaster designated appropriations),,,2020-09-10,2020,2006-04-15,2021-08-31,089,DEPARTMENT OF ENERGY (DOE),8900,DEPARTMENT OF ENERGY,892430,SC CHICAGO SERVICE CENTER,089,DEPARTMENT OF ENERGY (DOE),8900,DEPARTMENT OF ENERGY,892401,SCIENCE,089-X-0222-000,089-0222,"41.0: Grants, subsidies, and contributions",0006: FUSION ENERGY SCIENCES,046705849,"UNIVERSITY OF CALIFORNIA, IRVINE",071549000,"CALIFORNIA, STATE OF",USA,UNITED STATES,141 INNOVATION STE 250,,36770,IRVINE,059,ORANGE,CA,CALIFORNIA,92617,3213,45,,,,SINGLE ZIP CODE,USA,UNITED STATES,CA36770,IRVINE,059,ORANGE,CALIFORNIA,92697-7600,45,,81.049,OFFICE OF SCIENCE FINANCIAL ASSISTANCE PROGRAM,04,PROJECT GRANT (B),CONFINED FAST ION DIAGNOSTICS FOR NSTX-U,NON,NOT RECOVERY ACT,H,PUBLIC/STATE CONTROLLED INSTITUTION OF HIGHER EDUCATION,,,C,REVISION,2,NON-AGGREGATE RECORD,,,,,,,,,,,https://www.usaspending.gov/award/ASST_NON_DEFG0206ER54867_8900/,2020-09-14 20:33:54.042798+00
8900_DEFG0299ER54518_-NONE-_81.049_0031,ASST_NON_DEFG0299ER54518_8900,DEFG0299ER54518,0031,,SAI EXEMPT,669503.00,5213605.00,0.00,0.00,0.00,0.00,0.00,0.00,Q: Excluded from tracking (uses non-emergency/non-disaster designated appropriations),,,2020-09-11,2020,,,089,DEPARTMENT OF ENERGY (DOE),8900,DEPARTMENT OF ENERGY,892430,SC CHICAGO SERVICE CENTER,089,DEPARTMENT OF ENERGY (DOE),8900,DEPARTMENT OF ENERGY,892401,SCIENCE,089-X-0222-000,089-0222,"41.0: Grants, subsidies, and contributions",0006: FUSION ENERGY SCIENCES,047120084,"UNIVERSITY OF CALIFORNIA, DAVIS",071549000,"CALIFORNIA, STATE OF",USA,UNITED STATES,1850 RESEARCH PARK DRIVE,SUITE 300,18100,DAVIS,113,YOLO,CA,CALIFORNIA,95618,6153,03,,,,SINGLE ZIP CODE,USA,UNITED STATES,CA18100,DAVIS,113,YOLO,CALIFORNIA,95618-6153,03,,81.049,OFFICE OF SCIENCE FINANCIAL ASSISTANCE PROGRAM,04,PROJECT GRANT (B),HIGH-K POLOIDAL SCATTERING DIAGNOSTIC FOR NSTX-U,NON,NOT RECOVERY ACT,H,PUBLIC/STATE CONTROLLED INSTITUTION OF HIGHER EDUCATION,,,C,REVISION,2,NON-AGGREGATE RECORD,,,,,,,,,,,https://www.usaspending.gov/award/ASST_NON_DEFG0299ER54518_8900/,2020-10-22 19:17:03.369607+00
8900_DEFG0299ER54531_-NONE-_81.049_0037,ASST_NON_DEFG0299ER54531_8900,DEFG0299ER54531,0037,,SAI EXEMPT,1200000.00,5963709.00,0.00,0.00,0.00,0.00,0.00,0.00,Q: Excluded from tracking (uses non-emergency/non-disaster designated appropriations),,,2020-09-11,2020,,,089,DEPARTMENT OF ENERGY (DOE),8900,DEPARTMENT OF ENERGY,892430,SC CHICAGO SERVICE CENTER,089,DEPARTMENT OF ENERGY (DOE),8900,DEPARTMENT OF ENERGY,892401,SCIENCE,089-X-0222-000,089-0222,"41.0: Grants, subsidies, and contributions",0006: FUSION ENERGY SCIENCES,047120084,"UNIVERSITY OF CALIFORNIA, DAVIS",071549000,"CALIFORNIA, STATE OF",USA,UNITED STATES,1850 RESERACH PARK DRIVE,SUITE 300,18100,DAVIS,113,YOLO,CA,CALIFORNIA,95618,6153,03,,,,SINGLE ZIP CODE,USA,UNITED STATES,CA18100,DAVIS,113,YOLO,CALIFORNIA,95618-6153,03,,81.049,OFFICE OF SCIENCE FINANCIAL ASSISTANCE PROGRAM,04,PROJECT GRANT (B),MILLIMETER-WAVE IMAGING TECHNOLOGY DEVELOPMENT FOR REAL-TIME 2D AND 3D FUSION PLASMA DIAGNOSTICS,NON,NOT RECOVERY ACT,H,PUBLIC/STATE CONTROLLED INSTITUTION OF HIGHER EDUCATION,,,C,REVISION,2,NON-AGGREGATE RECORD,,,,,,,,,,,https://www.usaspending.gov/award/ASST_NON_DEFG0299ER54531_8900/,2020-10-22 19:17:03.369607+00
8900_DESC0021253_-NONE-_81.049_-NONE-,ASST_NON_DESC0021253_8900,DESC0021253,,,SAI EXEMPT,322184.00,322184.00,0.00,0.00,0.00,0.00,0.00,0.00,Q: Excluded from tracking (uses non-emergency/non-disaster designated appropriations),,,2020-09-09,2020,2020-09-23,2021-09-22,089,DEPARTMENT OF ENERGY (DOE),8900,DEPARTMENT OF ENERGY,892430,SC CHICAGO SERVICE CENTER,089,DEPARTMENT OF ENERGY (DOE),8900,DEPARTMENT OF ENERGY,892401,SCIENCE,089-X-0222-000,089-0222,"41.0: Grants, subsidies, and contributions",0002: ADVANCED SCIENTIFIC COMPUTING RESEARCH,009584210,CALIFORNIA INSTITUTE OF TECHNOLOGY,009584210,CALIFORNIA INSTITUTE OF TECHNOLOGY,USA,UNITED STATES,1200 E CALIFORNIA BLVD,MAIL CODE 273-6,56000,PASADENA,037,LOS ANGELES,CA,CALIFORNIA,91125,0001,27,,,,SINGLE ZIP CODE,USA,UNITED STATES,CA56000,PASADENA,037,LOS ANGELES,CALIFORNIA,91125-0002,27,,81.049,OFFICE OF SCIENCE FINANCIAL ASSISTANCE PROGRAM,05,COOPERATIVE AGREEMENT (B),FAIR DATA AND INTERPRETABLE AI FRAMEWORK FOR ARCHITECTURED METAMATERIALS,NON,NOT RECOVERY ACT,O,PRIVATE INSTITUTION OF HIGHER EDUCATION,,,A,NEW,2,NON-AGGREGATE RECORD,,,,,,,,,,,https://www.usaspending.gov/award/ASST_NON_DESC0021253_8900/,2020-09-14 20:33:54.042798+00
